width,serial_time,parallel_time
266,0.169670,0.133858
267,0.170111,0.134321
268,0.170973,0.134752
269,0.171437,0.135212
270,0.171878,0.136034
271,0.172303,0.136611
272,0.172868,0.137105
273,0.174003,0.137450
274,0.174721,0.137999
275,0.175179,0.138693
276,0.175953,0.139126
277,0.176478,0.139582
278,0.177663,0.140118
279,0.178445,0.141135
280,0.178497,0.141489
281,0.179253,0.141658
282,0.180229,0.142299
283,0.180800,0.142670
284,0.181324,0.143088
285,0.181673,0.143602
286,0.182291,0.143975
287,0.182965,0.144744
288,0.183743,0.145236
289,0.184470,0.145561
290,0.185102,0.145984
291,0.185776,0.146933
292,0.186391,0.147248
293,0.187143,0.147761
294,0.187586,0.148366
295,0.188413,0.149160
296,0.189435,0.149351
297,0.189959,0.149985
298,0.190629,0.150414
299,0.190788,0.151165
300,0.191688,0.151327
301,0.192218,0.151744
302,0.192714,0.152406
303,0.193403,0.152490
304,0.193837,0.153139
305,0.194485,0.153712
306,0.195455,0.154414
307,0.196038,0.154909
308,0.196526,0.155397
309,0.197463,0.155682
310,0.197855,0.156495
311,0.198537,0.157101
312,0.199478,0.157394
313,0.200161,0.158418
314,0.200768,0.158472
315,0.201218,0.158929
316,0.202004,0.159299
317,0.202323,0.160017
318,0.202809,0.160562
319,0.203484,0.161001
320,0.204414,0.161434
321,0.204928,0.162040
322,0.205396,0.162399
323,0.206103,0.163247
324,0.206887,0.163609
325,0.207877,0.163983
326,0.208765,0.164566
327,0.209493,0.165107
328,0.209865,0.165728
329,0.210394,0.166084
330,0.211143,0.166691
331,0.211635,0.167209
332,0.211949,0.167723
333,0.212508,0.168141
334,0.213497,0.168640
335,0.214266,0.169329
336,0.214333,0.169711
337,0.215309,0.170330
338,0.215776,0.170776
339,0.216964,0.171245
340,0.217628,0.171568
341,0.218097,0.172366
342,0.218562,0.172618
343,0.219432,0.173331
344,0.219866,0.173887
345,0.220384,0.174469
346,0.221030,0.174977
347,0.221602,0.175178
348,0.222852,0.175902
349,0.223212,0.176123
350,0.225436,0.179011
351,0.226555,0.179294
352,0.226831,0.177976
353,0.226136,0.178591
354,0.228883,0.180780
355,0.229614,0.181676
356,0.227680,0.180346
357,0.228816,0.180703
358,0.229096,0.181037
359,0.229907,0.181801
360,0.230580,0.182240
361,0.230908,0.182657
362,0.231340,0.184250
363,0.232049,0.183530
364,0.232828,0.183843
365,0.233327,0.184492
366,0.234046,0.185022
367,0.234728,0.186259
368,0.235053,0.186024
369,0.236014,0.186528
370,0.236768,0.187018
371,0.237538,0.188037
372,0.238157,0.188435
373,0.238631,0.188920
374,0.239652,0.190007
375,0.240158,0.190115
376,0.240971,0.190233
377,0.242057,0.190949
378,0.242104,0.191376
379,0.243083,0.191688
380,0.243127,0.192822
381,0.247270,0.192968
382,0.244449,0.193504
383,0.244970,0.193760
384,0.245690,0.194357
385,0.246211,0.194641
386,0.249950,0.195486
387,0.247763,0.195812
388,0.248643,0.196579
389,0.249020,0.196915
390,0.249388,0.197478
391,0.250377,0.198367
392,0.251081,0.198583
393,0.251619,0.199027
394,0.252376,0.199504
395,0.253446,0.199865
396,0.253664,0.200195
397,0.254487,0.200753
398,0.255490,0.201441
